     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/24/2016-12/30/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
R228,AVENUE J-EAST 16TH STREET     ,00010016,00000996,00000083,00000334,00000000,00006627,00007370,00000000,00000000,00000000,00000000,00000127,00000175,00000005,00000359,00000166,00000067,00000000,00000071,00000000,00000000,00000000,00001128,00000000,                                                                                                                      
R229,AVENUE M-EAST 16TH STREET     ,00009851,00000972,00000113,00000282,00000001,00005029,00006430,00000000,00000000,00000000,00000000,00000171,00000219,00000000,00000299,00000212,00000064,00000000,00000049,00000000,00000000,00000000,00000738,00000000,                                                                                                                      
R230,NECK ROAD-EAST 16TH STREET    ,00008271,00001154,00000022,00000337,00000001,00002419,00007422,00000000,00000000,00000000,00000000,00000176,00000170,00000000,00000389,00000143,00000082,00000000,00000049,00000000,00000000,00000000,00000786,00000000,                                                                                                                      
R231,UNION STREET-4TH AVENUE       ,00009755,00000605,00000058,00000135,00000004,00005136,00006076,00000000,00000000,00000000,00000000,00000149,00000108,00000004,00000688,00000264,00000180,00000000,00000162,00000000,00000000,00000000,00000405,00000000,                                                                                                                      
R232,45TH STREET-4TH AVENUE        ,00014896,00000873,00000105,00000266,00000006,00007978,00006727,00000000,00000000,00000000,00000000,00000069,00000322,00000003,00000438,00000068,00000048,00000000,00000076,00000000,00000000,00000000,00001112,00000000,                                                                                                                      
R233,53RD STREET-4TH AVENUE        ,00015981,00000824,00000097,00000268,00000002,00008192,00007701,00000000,00000000,00000000,00000000,00000111,00000361,00000005,00000433,00000081,00000078,00000000,00000088,00000000,00000000,00000000,00001189,00000000,                                                                                                                      
R234,50TH STREET-NEW UTRECHT AVE   ,00007178,00000692,00000082,00000235,00000002,00003317,00003307,00000000,00000000,00000000,00000000,00000065,00000212,00000001,00000130,00000103,00000031,00000000,00000032,00000000,00000000,00000000,00000424,00000000,                                                                                                                      
R235,BEDFORD AVE-NORTH 7TH ST      ,00048654,00000980,00000106,00000349,00000026,00029674,00029121,00000000,00000000,00000000,00000000,00000427,00000347,00000037,00003068,00000850,00000609,00000000,00001281,00000000,00000000,00000000,00000954,00000000,                                                                                                                      
R236,DEKALB AVE-WYCKOFF AVE        ,00020187,00000762,00000093,00000178,00000003,00014723,00014261,00000000,00000000,00000000,00000000,00000130,00000494,00000012,00001194,00000132,00000225,00000000,00000258,00000001,00000001,00000000,00001086,00000000,                                                                                                                      
R237,182ND STREET-183RD STREET     ,00010504,00000499,00000079,00000120,00000002,00009060,00003488,00000000,00000000,00000000,00000000,00000038,00000302,00000001,00000346,00000024,00000054,00000000,00000072,00000000,00000000,00000000,00000941,00000000,                                                                                                                      
R238,STEINWAY ST-BROADWAY          ,00025582,00001323,00000152,00000371,00000009,00015542,00020601,00000000,00000000,00000000,00000000,00000179,00000491,00000022,00001696,00000317,00000386,00000000,00000380,00000000,00000000,00000000,00001476,00000000,                                                                                                                      
R239,GREENPOINT AVE                ,00014632,00000966,00000119,00000317,00000005,00008519,00009331,00000000,00000000,00000000,00000000,00000129,00000281,00000010,00000901,00000204,00000154,00000000,00000322,00000000,00000000,00000000,00000458,00000000,                                                                                                                      
R240,GRAND ST-CHRISTIE ST          ,00049018,00008846,00000275,00004480,00000022,00018225,00046257,00000000,00000000,00000000,00000000,00000434,00001053,00000056,00001890,00000557,00000460,00000000,00001102,00000000,00000000,00000000,00002538,00000000,                                                                                                                      
R241,15TH ST-PROSPECT PARK WEST    ,00008568,00000799,00000033,00000241,00000001,00003399,00006188,00000000,00000000,00000000,00000000,00000137,00000161,00000001,00000759,00000251,00000140,00000000,00000156,00000000,00000000,00000000,00000534,00000000,                                                                                                                      
R242,18TH AVE-MCDONALD AVE         ,00008092,00000671,00000049,00000245,00000002,00004364,00004425,00000000,00000000,00000000,00000000,00000084,00000234,00000002,00000202,00000087,00000029,00000000,00000047,00000000,00000000,00000000,00000763,00000000,                                                                                                                      
R243,170TH STREET-JEROME AVENUE    ,00015616,00000749,00000185,00000206,00000001,00017116,00006535,00000000,00000000,00000000,00000000,00000049,00000566,00000001,00000779,00000035,00000049,00000000,00000103,00000000,00000000,00000000,00001641,00000000,                                                                                                                      
R244,BURNSIDE AVE-JEROME AVE       ,00017012,00000971,00000217,00000325,00000006,00018601,00006989,00000000,00000000,00000000,00000000,00000052,00000739,00000004,00000894,00000036,00000063,00000000,00000076,00000000,00000000,00000000,00001993,00000000,                                                                                                                      
R245,ST LAWRENCE AVE-WEST AVE      ,00008697,00000442,00000045,00000053,00000002,00007492,00002754,00000000,00000000,00000000,00000000,00000063,00000188,00000000,00000279,00000036,00000027,00000000,00000019,00000000,00000000,00000000,00000743,00000000,                                                                                                                      
R246,PROSPECT AVENUE-4TH AVENUE    ,00006604,00000249,00000031,00000090,00000000,00003368,00004961,00000000,00000000,00000000,00000000,00000106,00000101,00000001,00000588,00000129,00000185,00000000,00000099,00000000,00000000,00000000,00000244,00000000,                                                                                                                      
R247,55TH ST-NEW UTRECHT AVE       ,00005171,00000480,00000054,00000165,00000000,00002251,00002180,00000000,00000000,00000000,00000000,00000056,00000113,00000004,00000067,00000067,00000014,00000000,00000021,00000000,00000000,00000000,00000294,00000000,                                                                                                                      
R248,1ST AVENUE-14TH STREET        ,00038766,00002135,00000156,00000525,00000027,00019689,00021690,00000000,00000000,00000000,00000000,00000379,00000652,00000025,00002603,00000720,00000418,00000000,00000903,00000000,00000000,00000000,00001078,00000000,                                                                                                                      
R249,GRAHAM AVE-METROPOLITAN AVE   ,00015041,00000435,00000062,00000179,00000007,00009512,00011085,00000000,00000000,00000000,00000000,00000112,00000223,00000010,00001203,00000243,00000218,00000000,00000276,00000000,00000000,00000000,00000390,00000000,                                                                                                                      
R250,GRAND ST-BUSHWICK AVE         ,00008805,00000445,00000057,00000231,00000005,00007506,00006893,00000000,00000000,00000000,00000000,00000037,00000231,00000016,00000540,00000103,00000078,00000000,00000129,00000000,00000000,00000000,00000440,00000000,                                                                                                                      
R251,96TH ST-CENTRAL PARK WEST     ,00012259,00001800,00000117,00000380,00000001,00008197,00009379,00000000,00000000,00000000,00000000,00000174,00000276,00000033,00001012,00000297,00000223,00000000,00000298,00000000,00000000,00000000,00000494,00000000,                                                                                                                      
R252,HIGH ST-CADMAN PLAZA WEST     ,00016632,00000804,00000054,00000186,00000005,00014156,00006308,00000000,00000000,00000000,00000000,00000145,00000148,00000007,00000675,00000208,00000175,00000000,00000868,00000000,00000000,00000000,00000338,00000000,                                                                                                                      
R253,174TH-175TH ST-GRAND CONCOU   ,00010212,00000535,00000068,00000103,00000002,00009437,00004782,00000000,00000000,00000000,00000000,00000031,00000249,00000003,00000526,00000041,00000075,00000000,00000067,00000000,00000000,00000000,00000941,00000000,                                                                                                                      
R254,GRAND AVE-QUEENS BOULEVARD    ,00027222,00002068,00000203,00000830,00000009,00019202,00032468,00000000,00000000,00000000,00000000,00000278,00000497,00000006,00001770,00000257,00000391,00000000,00000320,00000000,00000000,00000000,00001972,00000000,                                                                                                                      
R255,VAN WYCK BLVD-MAIN STREET     ,00008972,00000771,00000059,00000218,00000001,00003801,00006421,00000000,00000000,00000000,00000000,00000104,00000216,00000002,00000645,00000125,00000071,00000000,00000131,00000000,00000000,00000000,00000545,00000000,                                                                                                                      
R256,NASSAU AVE-MANHATTAN AVE      ,00013625,00000758,00000063,00000357,00000005,00007871,00009046,00000000,00000000,00000000,00000000,00000154,00000182,00000005,00000849,00000179,00000155,00000000,00000298,00000000,00000000,00000000,00000446,00000000,                                                                                                                      
R257,EAST BROADWAY-MADISON ST      ,00029046,00003405,00000173,00001193,00000028,00013557,00020129,00000000,00000000,00000000,00000000,00000278,00000744,00000015,00001765,00000403,00000248,00000000,00000509,00000000,00000000,00000000,00001931,00000000,                                                                                                                      
R258,4TH AVENUE-9TH STREET         ,00019637,00001275,00000143,00000435,00000009,00009908,00013338,00000000,00000000,00000000,00000000,00000238,00000320,00000004,00001443,00000386,00000287,00000000,00000369,00000000,00000000,00000000,00001696,00000000,                                                                                                                      
R259,ROOSEVELT ISLAND              ,00010125,00001293,00000131,00000395,00000011,00006647,00010107,00000000,00000000,00000000,00000000,00000038,00000231,00000016,00001094,00000137,00000251,00000000,00000220,00000000,00000000,00000000,00000539,00000000,                                                                                                                      
R260,181ST STREET-ST NICHOLAS AV   ,00019937,00001525,00000275,00000432,00000009,00020134,00010174,00000000,00000000,00000000,00000000,00000058,00001077,00000004,00001041,00000132,00000118,00000000,00000211,00000000,00000000,00000000,00001610,00000000,                                                                                                                      
R261,40TH STREET-LOWERY STREET     ,00017737,00001479,00000125,00000364,00000023,00010230,00014405,00000000,00000000,00000000,00000000,00000144,00000431,00000033,00001430,00000187,00000198,00000000,00000275,00000000,00000000,00000000,00000901,00000000,                                                                                                                      
R262,BEVERLEY ROAD -EAST 15TH ST   ,00005429,00000379,00000068,00000101,00000000,00003330,00003223,00000000,00000000,00000000,00000000,00000049,00000084,00000000,00000334,00000049,00000081,00000000,00000069,00000000,00000000,00000000,00000427,00000000,                                                                                                                      
R263,AVENUE H-EAST 16TH STREET     ,00004512,00000449,00000038,00000179,00000002,00002706,00003262,00000000,00000000,00000000,00000000,00000037,00000110,00000001,00000265,00000054,00000054,00000000,00000040,00000000,00000000,00000000,00000424,00000000,                                                                                                                      
R264,OCEAN PKWAY-BRIGHTON BCH AV   ,00005932,00000999,00000056,00000255,00000001,00002166,00003444,00000000,00000000,00000000,00000000,00000099,00000188,00000000,00000174,00000074,00000029,00000000,00000059,00000000,00000000,00000000,00000385,00000000,                                                                                                                      
R265,MONTROSE AVENUE               ,00010980,00000509,00000032,00000119,00000008,00008588,00008123,00000000,00000000,00000000,00000000,00000043,00000266,00000007,00000791,00000107,00000104,00000000,00000279,00000000,00000000,00000000,00000468,00000000,                                                                                                                      
R266,HALSEY STREET-WYCKOFF AVE     ,00014177,00000477,00000048,00000155,00000001,00010655,00009227,00000000,00000000,00000000,00000000,00000110,00000241,00000000,00000706,00000091,00000163,00000000,00000197,00000000,00000000,00000000,00000852,00000000,                                                                                                                      
R267,46TH STREET-BROADWAY          ,00015795,00001117,00000096,00000335,00000001,00008573,00011691,00000000,00000000,00000000,00000000,00000146,00000287,00000013,00000944,00000167,00000230,00000000,00000216,00000000,00000000,00000000,00000914,00000000,                                                                                                                      
R268,METROPOLITAN AVE-LORIMER ST   ,00022877,00000613,00000080,00000233,00000010,00014884,00016933,00000000,00000000,00000000,00000000,00000173,00000221,00000014,00001777,00000334,00000348,00000000,00000562,00000000,00000000,00000000,00000591,00000000,                                                                                                                      
R269,BEDFORD AVENUE-NOSTRAND AVE   ,00011571,00000352,00000058,00000178,00000006,00010049,00008843,00000000,00000000,00000000,00000000,00000071,00000178,00000001,00000983,00000132,00000151,00000000,00000306,00000000,00000000,00000000,00000651,00000000,                                                                                                                      
R270,SMITH STREET-9TH STREET       ,00007631,00000389,00000062,00000179,00000001,00005062,00004157,00000000,00000000,00000000,00000000,00000072,00000233,00000002,00000341,00000114,00000052,00000000,00000104,00000000,00000000,00000000,00000560,00000000,                                                                                                                      
R271,AVENUE X-MCDONALD AVENUE      ,00004312,00000340,00000024,00000140,00000000,00001778,00002957,00000000,00000000,00000000,00000000,00000045,00000128,00000001,00000246,00000033,00000043,00000000,00000023,00000000,00000000,00000000,00000279,00000000,                                                                                                                      
R272,28TH STREET-7TH AVENUE        ,00021632,00001762,00000171,00000471,00000043,00013074,00011701,00000000,00000000,00000000,00000000,00000210,00000328,00000079,00001073,00000429,00000405,00000000,00000561,00000000,00000000,00000000,00000399,00000000,                                                                                                                      
R273,145TH STREET-BROADWAY         ,00014870,00001119,00000239,00000445,00000007,00017323,00011719,00000000,00000000,00000000,00000000,00000067,00000664,00000003,00001035,00000101,00000188,00000000,00000233,00000000,00000000,00000000,00001287,00000000,                                                                                                                      
R274,191ST STREET-ST NICHOLAS AV   ,00015090,00001561,00000177,00000329,00000003,00012632,00008502,00000000,00000000,00000000,00000000,00000043,00000639,00000000,00001149,00000045,00000123,00000000,00000125,00000000,00000000,00000000,00001266,00000000,                                                                                                                      
R275,183RD STREET-JEROME AVENUE    ,00012085,00000520,00000099,00000178,00000006,00012074,00004307,00000000,00000000,00000000,00000000,00000041,00000391,00000004,00000423,00000042,00000042,00000000,00000048,00000000,00000000,00000000,00001466,00000000,                                                                                                                      
R276,JACKSON AVENUE-VERNON BLVD    ,00025050,00001250,00000077,00000304,00000033,00010392,00019382,00000000,00000000,00000000,00000000,00000348,00000229,00000039,00002226,00000718,00000484,00000000,00000530,00000000,00000000,00000000,00000550,00000000,                                                                                                                      
R277,PRESIDENT ST-NOSTRAND AVE     ,00005771,00000429,00000092,00000118,00000001,00003592,00003462,00000000,00000000,00000000,00000000,00000038,00000163,00000002,00000450,00000044,00000050,00000000,00000062,00000000,00000000,00000000,00000471,00000000,                                                                                                                      
R278,25TH STREET-4TH AVENUE        ,00005321,00000259,00000022,00000051,00000003,00003726,00002971,00000000,00000000,00000000,00000000,00000025,00000090,00000002,00000264,00000058,00000065,00000000,00000094,00000000,00000000,00000000,00000264,00000000,                                                                                                                      
R279,JEFFERSON STREET-WYCKOFF AV   ,00012168,00000325,00000065,00000157,00000006,00009489,00008277,00000000,00000000,00000000,00000000,00000060,00000137,00000000,00000567,00000096,00000147,00000000,00000186,00000000,00000000,00000000,00000515,00000000,                                                                                                                      
R280,190TH STREET-OVERLOOK TERR    ,00006830,00000947,00000054,00000197,00000001,00003962,00006064,00000000,00000000,00000000,00000000,00000067,00000232,00000003,00000586,00000092,00000185,00000000,00000149,00000000,00000000,00000000,00000313,00000000,                                                                                                                      
R281,72ND STREET-CENTRAL PK WEST   ,00019830,00001498,00000044,00000246,00000014,00012186,00007364,00000000,00000000,00000000,00000000,00000159,00000223,00000019,00000708,00000353,00000181,00000000,00000801,00000000,00000000,00000000,00000314,00000000,                                                                                                                      
R282,SPRING STREET-6TH AVENUE      ,00022402,00001006,00000060,00000197,00000071,00011692,00009758,00000000,00000000,00000000,00000000,00000239,00000175,00000081,00001225,00000438,00000263,00000000,00000571,00000000,00000000,00000000,00000492,00000000,                                                                                                                      
R283,LAFAYETTE AVENUE-FULTON ST    ,00008731,00000379,00000068,00000115,00000001,00006309,00004888,00000000,00000001,00000000,00000000,00000069,00000158,00000003,00000547,00000120,00000100,00000000,00000200,00000000,00000000,00000000,00000765,00000000,                                                                                                                      
R284,CLINTON AVENUE-FULTON ST      ,00010097,00000443,00000080,00000087,00000008,00005880,00006781,00000000,00000000,00000000,00000000,00000104,00000165,00000005,00000818,00000183,00000192,00000000,00000299,00000000,00000000,00000000,00000387,00000000,                                                                                                                      
R285,MOTT AVENUE-BEACH 22ND ST     ,00010844,00000690,00000129,00000248,00000001,00006039,00002594,00000000,00000000,00000000,00000000,00000025,00000410,00000000,00000263,00000036,00000023,00000000,00000136,00000000,00000000,00000000,00000780,00000000,                                                                                                                      
R286,MYRTLE AVENUE-MARCY AVENUE    ,00009485,00000331,00000050,00000050,00000001,00007553,00005657,00000000,00000000,00000000,00000000,00000049,00000204,00000000,00000490,00000049,00000078,00000000,00000192,00000000,00000000,00000000,00000599,00000000,                                                                                                                      
R287,CLASSON AVENUE-LAFAYETTE AV   ,00007459,00000256,00000035,00000062,00000007,00005252,00004993,00000000,00000000,00000000,00000000,00000066,00000163,00000000,00000405,00000114,00000085,00000000,00000121,00000000,00000000,00000000,00000484,00000000,                                                                                                                      
R288,7TH AVENUE-9TH STREET         ,00018409,00001710,00000083,00000293,00000009,00006043,00011972,00000000,00000000,00000000,00000000,00000297,00000242,00000009,00001459,00000617,00000310,00000000,00000325,00000000,00000000,00000000,00001005,00000000,                                                                                                                      
R289,FT HAMILTON PKY-GREENWOOD     ,00008458,00000965,00000056,00000181,00000001,00002917,00006310,00000000,00000000,00000000,00000000,00000135,00000074,00000009,00000783,00000292,00000163,00000000,00000163,00000000,00000000,00000000,00000643,00000000,                                                                                                                      
R290,HOUSTON STREET-VARICK ST      ,00019705,00001684,00000139,00000323,00000077,00008942,00009302,00000000,00000000,00000000,00000000,00000245,00000241,00000158,00000967,00000526,00000230,00000000,00000369,00000000,00000000,00000000,00000583,00000000,                                                                                                                      
R291,33RD STREET-QUEENS BLVD       ,00012723,00000606,00000049,00000255,00000017,00007169,00006800,00000000,00000000,00000000,00000000,00000101,00000237,00000030,00000770,00000131,00000126,00000000,00000173,00000000,00000000,00000000,00000664,00000000,                                                                                                                      
R292,BAYCHESTER AVE-TILLOTSON      ,00006855,00000340,00000037,00000062,00000003,00003776,00001967,00000000,00000000,00000000,00000000,00000028,00000102,00000000,00000264,00000022,00000012,00000000,00000037,00000000,00000000,00000000,00000814,00000000,                                                                                                                      
R293,34TH STREET - PENN STATION    ,00144789,00007045,00000551,00001268,00002101,00040125,00037695,00000000,00000000,00000000,00000000,00001153,00002198,00003289,00004389,00002983,00000868,00000000,00002858,00000000,00000000,00000000,00001751,00000000,                                                                                                                      
R294,MORGAN AVENUE-HARRISON PL     ,00012867,00000264,00000029,00000097,00000002,00010198,00008967,00000000,00000000,00000000,00000000,00000065,00000195,00000006,00000625,00000116,00000157,00000000,00000316,00000000,00000000,00000000,00000329,00000000,                                                                                                                      
R295,WILSON AVENUE-MOFFAT STREET   ,00006749,00000192,00000037,00000052,00000001,00006992,00004449,00000000,00000000,00000000,00000000,00000037,00000197,00000000,00000420,00000035,00000060,00000000,00000144,00000000,00000000,00000000,00000463,00000000,                                                                                                                      
R296,163RD ST & AMSTERDAM AVE      ,00007736,00000517,00000076,00000153,00000005,00007436,00004564,00000000,00000000,00000000,00000000,00000024,00000242,00000001,00000422,00000043,00000085,00000000,00000082,00000000,00000000,00000000,00000605,00000000,                                                                                                                      
R297,FRANKLIN AVENUE-FULTON ST     ,00008977,00000459,00000098,00000181,00000000,00008204,00006025,00000000,00000000,00000000,00000000,00000031,00000223,00000005,00000633,00000133,00000103,00000000,00000189,00000000,00000000,00000000,00000629,00000000,                                                                                                                      
R298,NORTHERN BLVD-BROADWAY        ,00010509,00000904,00000097,00000405,00000004,00007183,00010011,00000000,00000000,00000000,00000000,00000105,00000238,00000000,00000653,00000102,00000095,00000000,00000139,00000000,00000000,00000000,00000704,00000000,                                                                                                                      
R299,BROADWAY - UNION AVENUE       ,00006122,00000415,00000037,00000224,00000004,00005879,00005021,00000000,00000000,00000000,00000000,00000019,00000175,00000001,00000360,00000053,00000058,00000000,00000118,00000000,00000000,00000000,00000378,00000000,                                                                                                                      
R300,2ND AVENUE-HOUSTON STREET     ,00035823,00002076,00000192,00000550,00000049,00020808,00018951,00000000,00000000,00000000,00000000,00000325,00000431,00000028,00001970,00000544,00000342,00000000,00000907,00000000,00000000,00000000,00000935,00000000,                                                                                                                      
R301,YORK STREET-JAY STREET        ,00016039,00000470,00000040,00000205,00000022,00011875,00008777,00000000,00000000,00000000,00000000,00000163,00000139,00000015,00000738,00000300,00000193,00000000,00000502,00000000,00000000,00000000,00000537,00000000,                                                                                                                      
R302,57TH STREET-6TH AVENUE        ,00037504,00001845,00000121,00000389,00000065,00018983,00015756,00000000,00000000,00000000,00000000,00000444,00000409,00000061,00002144,00000790,00000360,00000000,00000938,00000000,00000000,00000000,00000491,00000000,                                                                                                                      
R303,21ST STREET-QUEENSBRIDGE      ,00013134,00001216,00000224,00000737,00000009,00013014,00009296,00000000,00000000,00000000,00000000,00000142,00000686,00000005,00000733,00000093,00000072,00000000,00000244,00000000,00000000,00000000,00000819,00000000,                                                                                                                      
R304,RECTOR STREET-GREENWICH ST    ,00019187,00000761,00000041,00000153,00000089,00009670,00006029,00000000,00000000,00000000,00000000,00000195,00000106,00000233,00000731,00000314,00000167,00000000,00000519,00000000,00000000,00000000,00000192,00000000,                                                                                                                      
R306,238TH STREET-BROADWAY         ,00008657,00000533,00000067,00000128,00000002,00004356,00004450,00000000,00000000,00000000,00000000,00000060,00000214,00000002,00000563,00000172,00000066,00000000,00000060,00000000,00000000,00000000,00000457,00000000,                                                                                                                      
R307,138TH ST-GRAND CONCOURSE      ,00006351,00000221,00000057,00000065,00000007,00004091,00002395,00000000,00000000,00000000,00000000,00000030,00000211,00000002,00000308,00000027,00000050,00000000,00000029,00000000,00000000,00000000,00000311,00000000,                                                                                                                      
R308,MT EDEN AVENUE-JEROME AVE     ,00010177,00000578,00000092,00000199,00000001,00009438,00004116,00000000,00000000,00000000,00000000,00000025,00000350,00000008,00000461,00000024,00000063,00000000,00000059,00000000,00000000,00000000,00001086,00000000,                                                                                                                      
R309,176TH STREET-JEROME AVENUE    ,00010780,00000456,00000110,00000142,00000002,00011739,00004764,00000000,00000000,00000000,00000000,00000025,00000330,00000000,00000514,00000031,00000031,00000000,00000062,00000000,00000000,00000000,00001296,00000000,                                                                                                                      
R310,111TH STREET-ROOSEVELT AVE    ,00026208,00000772,00000089,00000350,00000010,00021829,00010022,00000000,00000000,00000000,00000000,00000105,00000270,00000001,00000382,00000080,00000057,00000000,00000161,00000000,00000000,00000000,00001721,00000000,                                                                                                                      
R311,BOWERY STREET-DELANCEY ST     ,00006420,00000512,00000024,00000464,00000006,00005548,00005531,00000000,00000000,00000000,00000000,00000036,00000078,00000001,00000305,00000076,00000067,00000000,00000236,00000000,00000000,00000000,00000241,00000000,                                                                                                                      
R312,WEST 6TH STREET-SURF AVENUE   ,00004066,00000587,00000025,00000136,00000000,00001506,00002164,00000000,00000000,00000000,00000000,00000071,00000088,00000000,00000134,00000050,00000035,00000000,00000062,00000000,00000000,00000000,00000426,00000000,                                                                                                                      
R313,BUSHWICK AVENUE-ABERDEEN ST   ,00003119,00000143,00000010,00000021,00000001,00003456,00002049,00000000,00000000,00000000,00000000,00000017,00000055,00000000,00000120,00000012,00000026,00000000,00000054,00000000,00000000,00000000,00000252,00000000,                                                                                                                      
R314,103RD ST-CENTRAL PARK WEST    ,00007769,00000751,00000057,00000260,00000000,00005563,00004807,00000000,00000000,00000000,00000000,00000040,00000258,00000007,00000525,00000108,00000116,00000000,00000217,00000000,00000000,00000000,00000520,00000000,                                                                                                                      
R315,155TH STREET-8TH AVENUE       ,00007245,00000655,00000114,00000190,00000000,00006950,00003242,00000000,00000000,00000000,00000000,00000028,00000317,00000000,00000350,00000012,00000048,00000000,00000059,00000000,00000000,00000000,00000975,00000000,                                                                                                                      
R316,FLUSHING AVENUE-MARCY AVE     ,00005241,00000205,00000027,00000059,00000001,00003750,00002110,00000000,00000000,00000000,00000000,00000039,00000065,00000004,00000267,00000034,00000021,00000000,00000085,00000000,00000000,00000000,00000383,00000000,                                                                                                                      
R317,LAFAYETTE AV-WASHINGTON AV    ,00006932,00000376,00000028,00000086,00000002,00003729,00004270,00000000,00000000,00000000,00000000,00000048,00000053,00000006,00000466,00000112,00000097,00000000,00000128,00000000,00000000,00000000,00000313,00000000,                                                                                                                      
R318,FULTON STREET-LAFAYETTE AV    ,00005866,00000321,00000051,00000096,00000008,00005277,00005340,00000000,00000000,00000000,00000000,00000054,00000073,00000003,00000446,00000090,00000112,00000000,00000202,00000000,00000000,00000000,00000478,00000000,                                                                                                                      
R319,63RD STREET-LEXINGTON AVE     ,00024019,00001714,00000078,00000332,00000042,00011233,00015230,00000000,00000000,00000000,00000000,00000334,00000206,00000049,00001447,00000674,00000300,00000000,00000375,00000000,00000000,00000000,00000353,00000000,                                                                                                                      
R320,CANAL STREET-VARICK STREET    ,00009308,00000379,00000022,00000071,00000031,00005318,00003598,00000000,00000000,00000000,00000000,00000085,00000107,00000045,00000325,00000141,00000111,00000000,00000226,00000000,00000000,00000000,00000126,00000000,                                                                                                                      
R321,18TH STREET-7TH AVENUE        ,00012973,00001217,00000053,00000199,00000045,00006275,00006977,00000000,00000000,00000000,00000000,00000151,00000151,00000055,00000899,00000285,00000216,00000000,00000272,00000000,00000000,00000000,00000229,00000000,                                                                                                                      
R322,SPRING STREET-LAFAYETTE ST    ,00029703,00001093,00000073,00000184,00000051,00017167,00011302,00000000,00000000,00000000,00000000,00000219,00000214,00000068,00001191,00000505,00000228,00000000,00000840,00000000,00000000,00000000,00000724,00000000,                                                                                                                      
R323,111TH STREET-LENOX AVENUE     ,00014561,00001023,00000232,00000449,00000013,00013161,00009885,00000000,00000000,00000000,00000000,00000099,00000470,00000016,00001081,00000190,00000195,00000000,00000273,00000000,00000000,00000000,00001311,00000000,                                                                                                                      
R324,116TH STREET-LENOX AVENUE     ,00017448,00001318,00000240,00000533,00000008,00017995,00012466,00000000,00000000,00000000,00000000,00000093,00000615,00000019,00001378,00000173,00000224,00000000,00000217,00000000,00000000,00000000,00001516,00000000,                                                                                                                      
R325,WHITLOCK AVE-WESTCHESTER AV   ,00003335,00000137,00000013,00000031,00000000,00003079,00001252,00000000,00000000,00000000,00000000,00000008,00000045,00000000,00000147,00000008,00000006,00000000,00000017,00000000,00000000,00000000,00000341,00000000,                                                                                                                      
R326,ZEREGA AVE-WESTCHESTER AVE    ,00004968,00000251,00000047,00000061,00000000,00002942,00002194,00000000,00000000,00000000,00000000,00000060,00000149,00000001,00000212,00000049,00000019,00000000,00000016,00000000,00000000,00000000,00000403,00000000,                                                                                                                      
R327,52ND STREET-ROOSEVELT AVE     ,00011464,00001137,00000122,00000209,00000010,00007657,00010056,00000000,00000000,00000000,00000000,00000075,00000235,00000006,00000713,00000106,00000149,00000000,00000145,00000000,00000000,00000000,00000610,00000000,                                                                                                                      
R328,WILLETS PT BLVD-ROOSEVELT     ,00005107,00000128,00000028,00000040,00000005,00002405,00001574,00000000,00000000,00000000,00000000,00000066,00000068,00000003,00000134,00000091,00000037,00000000,00000057,00000000,00000000,00000000,00000627,00000000,                                                                                                                      
R329,MORRIS PARK-PAULDING AVENUE   ,00004989,00000228,00000021,00000027,00000000,00001751,00002197,00000000,00000000,00000000,00000000,00000043,00000091,00000003,00000294,00000037,00000025,00000000,00000034,00000000,00000000,00000000,00000267,00000000,                                                                                                                      
R330,3RD AVENUE-14TH STREET        ,00011117,00000488,00000042,00000141,00000019,00007415,00008220,00000000,00000000,00000000,00000000,00000109,00000125,00000024,00000900,00000251,00000136,00000000,00000292,00000000,00000000,00000000,00000297,00000000,                                                                                                                      
R331,155TH STREET-ST NICHOLAS AV   ,00004041,00000337,00000040,00000164,00000003,00004172,00002854,00000000,00000000,00000000,00000000,00000012,00000159,00000001,00000274,00000020,00000076,00000000,00000083,00000000,00000000,00000000,00000363,00000000,                                                                                                                      
R332,135TH STREET-ST NICHOLAS AV   ,00006890,00000489,00000116,00000211,00000000,00006736,00005000,00000000,00000000,00000000,00000000,00000039,00000155,00000002,00000665,00000065,00000122,00000000,00000119,00000000,00000000,00000000,00000653,00000000,                                                                                                                      
R333,116TH STREET-8TH AVENUE       ,00010148,00000612,00000105,00000309,00000006,00009225,00007788,00000000,00000000,00000000,00000000,00000061,00000316,00000001,00000926,00000112,00000195,00000000,00000240,00000000,00000000,00000000,00000686,00000000,                                                                                                                      
R334,110TH STREET-8TH AVENUE       ,00012671,00000942,00000058,00000347,00000005,00008813,00008277,00000000,00000000,00000000,00000000,00000060,00000317,00000002,00000840,00000190,00000199,00000000,00000346,00000000,00000000,00000000,00000630,00000000,                                                                                                                      
R335,GASTON AVENUE-BEACH 67TH ST   ,00005192,00000307,00000031,00000049,00000007,00002916,00001723,00000000,00000000,00000000,00000000,00000017,00000195,00000000,00000204,00000040,00000024,00000000,00000155,00000000,00000000,00000000,00000416,00000000,                                                                                                                      
R336,STRAITON AVE-BEACH 60TH ST    ,00005045,00000373,00000050,00000055,00000002,00003472,00001388,00000000,00000000,00000000,00000000,00000022,00000200,00000000,00000257,00000009,00000017,00000000,00000075,00000000,00000000,00000000,00000686,00000000,                                                                                                                      
